EST_ST,REGION,EEDUC,RECVDVACC,NUMDOSES,BRAND,GETVACRV
51,2,7,1,3,1,-88
11,2,6,1,3,1,-88
11,2,3,1,2,1,-88
11,2,7,1,2,1,-88
11,2,7,1,2,2,-88
11,2,7,1,3,1,-88
11,2,3,1,2,2,-88
11,2,7,1,3,1,-88
24,2,7,1,3,1,-88
11,2,7,1,3,1,-88
11,2,7,1,3,2,-88
11,2,6,1,3,2,-88
11,2,7,1,3,2,-88
24,2,7,1,3,1,-88
24,2,7,1,3,1,-88
24,2,6,1,3,2,-88
24,2,6,1,3,1,-88
24,2,6,1,3,1,-88
24,2,7,1,2,1,-88
51,2,7,1,3,1,-88
51,2,7,1,3,2,-88
51,2,3,1,2,1,-88
51,2,6,1,3,1,-88
51,2,6,1,1,3,-88
51,2,4,1,3,-99,-88
24,2,7,1,3,2,-88
51,2,6,2,-88,-88,3
51,2,7,1,2,1,-88
51,2,6,1,3,1,-88
51,2,6,1,3,1,-88
51,2,7,1,2,2,-88
51,2,7,1,3,1,-88
51,2,4,1,2,1,-88
50,1,6,1,2,3,-88
50,1,7,1,3,2,-88
50,1,7,1,3,1,-88
50,1,5,1,3,1,-88
51,2,7,1,3,2,-88
51,2,6,1,3,1,-88
51,2,6,1,3,1,-88
53,4,4,1,3,2,-88
26,3,3,1,3,1,-88
53,4,5,1,2,1,-88
54,2,3,1,2,3,-88
54,2,4,1,3,2,-88
54,2,6,2,-88,-88,5
54,2,3,1,2,3,-88
36,1,6,1,2,1,-88
54,2,4,-99,-88,-88,-99
54,2,4,1,2,1,-88
55,3,5,1,2,1,-88
55,3,7,1,3,2,-88
55,3,3,1,2,2,-88
55,3,5,1,2,2,-88
12,2,3,1,2,2,-88
55,3,7,-99,-88,-88,-99
55,3,4,1,3,2,-88
55,3,5,1,2,2,-88
55,3,6,1,3,2,-88
55,3,5,1,3,2,-88
55,3,7,1,3,2,-88
55,3,6,1,3,2,-88
56,4,4,1,3,2,-88
56,4,7,1,2,1,-88
56,4,5,1,2,1,-88
56,4,2,2,-88,-88,3
1,2,4,1,2,2,-88
1,2,6,1,2,2,-88
1,2,4,2,-88,-88,2
1,2,4,1,3,1,-88
1,2,4,2,-88,-88,5
1,2,6,1,2,1,-88
1,2,7,1,2,2,-88
1,2,4,1,3,2,-88
1,2,6,1,3,1,-88
1,2,4,1,1,1,-88
1,2,7,1,3,1,-88
1,2,4,2,-88,-88,5
1,2,6,1,1,3,-88
16,4,6,2,-88,-88,2
41,4,4,1,3,1,-88
2,4,7,1,3,1,-88
2,4,5,1,2,2,-88
2,4,6,1,3,2,-88
46,3,5,1,2,2,-88
2,4,4,1,3,1,-88
2,4,4,-99,-88,-88,-99
45,2,4,2,-88,-88,5
2,4,4,1,2,1,-88
2,4,4,1,3,2,-88
16,4,7,1,3,1,-88
2,4,5,1,2,2,-88
16,4,7,1,3,1,-88
2,4,6,1,4,2,-88
2,4,4,2,-88,-88,5
2,4,7,1,3,2,-88
2,4,3,1,3,2,-88
4,4,3,2,-88,-88,3
4,4,4,2,-88,-88,4
47,2,5,1,2,1,-88
4,4,6,1,3,2,-88
4,4,7,1,3,2,-88
4,4,4,1,2,1,-88
4,4,7,1,3,2,-88
4,4,7,1,3,1,-88
4,4,6,1,3,2,-88
4,4,5,1,2,2,-88
4,4,6,1,3,2,-88
5,2,6,1,3,1,-88
5,2,7,1,3,2,-88
5,2,6,1,2,1,-88
5,2,7,2,-88,-88,4
5,2,4,2,-88,-88,5
5,2,6,1,2,1,-88
5,2,4,1,2,1,-88
5,2,5,1,2,2,-88
5,2,7,1,2,3,-88
5,2,4,1,2,1,-88
5,2,6,1,2,2,-88
5,2,6,1,3,1,-88
19,3,6,1,3,1,-88
5,2,3,1,2,1,-88
29,3,4,1,2,1,-88
6,4,6,1,3,1,-88
41,4,6,1,3,1,-88
6,4,6,1,3,2,-88
6,4,5,1,2,1,-88
6,4,6,1,3,1,-88
6,4,7,1,3,1,-88
6,4,6,1,3,2,-88
6,4,4,1,2,2,-88
6,4,6,1,3,1,-88
6,4,6,1,3,6,-88
6,4,3,1,3,2,-88
6,4,4,1,2,1,-88
6,4,4,1,3,1,-88
8,4,6,1,2,3,-88
8,4,3,1,1,3,-88
8,4,4,1,2,1,-88
8,4,5,1,3,2,-88
8,4,4,1,3,2,-88
8,4,6,1,2,1,-88
8,4,4,1,1,2,-88
8,4,2,1,2,1,-88
8,4,6,1,3,1,-88
8,4,7,1,3,2,-88
8,4,7,1,3,1,-88
51,2,6,1,3,1,-88
8,4,5,1,5,6,-88
8,4,7,1,3,2,-88
8,4,7,1,3,1,-88
8,4,5,1,2,3,-88
8,4,7,1,3,1,-88
8,4,3,1,3,1,-88
8,4,4,1,2,1,-88
8,4,5,1,2,2,-88
8,4,6,1,3,1,-88
8,4,4,1,2,1,-88
8,4,6,2,-88,-88,4
8,4,6,1,2,1,-88
8,4,6,1,3,2,-88
8,4,7,1,3,1,-88
8,4,6,1,3,1,-88
8,4,4,1,3,1,-88
8,4,6,1,2,1,-88
8,4,3,1,3,2,-88
8,4,7,1,3,1,-88
4,4,5,1,2,2,-88
8,4,6,1,2,3,-88
9,1,5,1,2,1,-88
9,1,3,1,2,1,-88
9,1,7,1,2,3,-88
9,1,6,1,3,1,-88
53,4,6,1,2,2,-88
9,1,6,1,3,1,-88
9,1,6,1,2,1,-88
9,1,5,1,2,6,-88
9,1,6,1,3,2,-88
9,1,4,1,3,1,-88
9,1,5,1,3,1,-88
9,1,5,1,2,1,-88
9,1,4,1,4,2,-88
9,1,7,1,2,3,-88
9,1,7,-99,-88,-88,-88
